submission_id,RT,age,binaryChoice,comments,education,endTime,experiment_id,focalColor,gender,languages,native_language,nrFocal,nrTotal,response1,response2,response3,sentence_shown,startDate,startTime,timeSpent,translation,trial_number,trial_type
223,NA,20,NA,,graduated_high_school,1542515243445,16,NA,female,"Punjabi, Hindi, English",Punjabi,NA,NA,NA,NA,NA,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,1,nativeLang
223,23494,20,NA,,graduated_high_school,1542515243445,16,black,female,"Punjabi, Hindi, English",NA,27,49,@ਕੁਝ@ ਬਿੰਦੀਆਂ ਕਾਲੀਆਂ ਹਨ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,1,describePicture
223,9333,20,NA,,graduated_high_school,1542515243445,16,white,female,"Punjabi, Hindi, English",NA,6,49,@ਕੁਝ@ ਬਿੰਦੀਆਂ ਚਿੱਟੀਆਂ ਹਨ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,2,describePicture
223,91382,20,NA,,graduated_high_school,1542515243445,16,black,female,"Punjabi, Hindi, English",NA,0,10,@ਕੋਈ ਵੀ@ ਬਿੰਦੀ ਕਾਲੀ @ਨਹੀਂ@ ਹੈ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,3,describePicture
223,8144,20,NA,,graduated_high_school,1542515243445,16,black,female,"Punjabi, Hindi, English",NA,36,49,@ਜ਼ਿਆਦਾਤਰ@ ਬਿੰਦੀਆਂ ਕਾਲੀਆਂ ਹਨ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,4,describePicture
223,12314,20,NA,,graduated_high_school,1542515243445,16,white,female,"Punjabi, Hindi, English",NA,8,10,@ਜ਼ਿਆਦਾਤਰ@ ਬਿੰਦੀਆਂ ਚਿੱਟੀਆਂ ਹਨ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,5,describePicture
223,6847,20,NA,,graduated_high_school,1542515243445,16,white,female,"Punjabi, Hindi, English",NA,16,49,@ਕੁਝ@ ਬਿੰਦੀਆਂ ਚਿੱਟੀਆਂ ਹਨ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,6,describePicture
223,8170,20,NA,,graduated_high_school,1542515243445,16,black,female,"Punjabi, Hindi, English",NA,9,10,@ਜ਼ਿਆਦਾਤਰ@ ਬਿੰਦੀਆਂ ਕਾਲੀਆਂ ਹਨ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,7,describePicture
223,19790,20,NA,,graduated_high_school,1542515243445,16,black,female,"Punjabi, Hindi, English",NA,2,10,@ਕੁਝ@ ਬਿੰਦੀਆਂ ਕਾਲੀਆਂ ਹਨ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,8,describePicture
223,20612,20,NA,,graduated_high_school,1542515243445,16,black,female,"Punjabi, Hindi, English",NA,4,10,@ਕੁਝ@ ਬਿੰਦੀਆਂ ਕਾਲੀਆਂ ਹਨ,,,NA,Sat Nov 17 2018 20:09:11 GMT-0800 (Pacific Standard Time),1542514151904,18.19235,NA,9,describePicture
